GEOID,child_poverty_pct,child_poverty_moe,under18_pop,child_poverty_pop,child_poverty_pop_moe
24001000100,5.3,5.5,596,31.588,32.78
24001000200,34,33.5,491,166.94,164.485
24001000500,48.1,31.4,363,174.603,113.982
24001000600,14.9,12.9,551,82.099,71.079
24001000700,51.7,23.4,858,443.586,200.772
24001000800,45.8,18.9,464,212.512,87.696
24001001000,43.6,21.4,413,180.068,88.382
24001001100,4.6,7.6,223,10.258,16.948
24001001200,8.4,10.6,383,32.172,40.598
24001001300,33.6,18.6,333,111.888,61.938
24001001401,8.3,13.8,777,64.491,107.226
24001001402,0,19.1,212,0,40.492
24001001502,8.3,10.5,361,29.963,37.905
24001001503,21.7,17.4,318,69.006,55.332
24001001600,19.8,14.7,192,38.016,28.224
24001001700,5.4,8.2,790,42.66,64.78
24001001800,26.5,17.7,516,136.74,91.332
24001001900,11.3,11.9,592,66.896,70.448
24001002000,0,3.8,1112,0,42.256
24001002100,24.4,13.6,487,118.828,66.232
24001002200,21.2,19.2,885,187.62,169.92
24001002300,36.6,21.7,1115,408.09,241.955
24003701101,1.6,2.9,893,14.288,25.897
24003701103,0,4.9,838,0,41.062
24003701104,4.1,5.9,725,29.725,42.775
24003701201,0,5.6,733,0,41.048
24003701202,5,5.3,1223,61.15,64.819
24003701301,7.6,11.7,1136,86.336,132.912
24003701302,7.3,11.1,740,54.02,82.14
24003701400,0.8,1.6,612,4.896,9.792
24003702100,0,3.1,1329,0,41.199
24003702204,0,2.5,1665,0,41.625
24003702205,8.2,12.9,1399,114.718,180.471
24003702206,3.6,5.5,2079,74.844,114.345
24003702208,0,1.8,2354,0,42.372
24003702209,1.1,1.7,1096,12.056,18.632
24003702300,0,3,1410,0,42.3
24003702402,7.6,9.7,1205,91.58,116.885
24003702500,1.7,2.9,1795,30.515,52.055
24003702601,7,8.9,1050,73.5,93.45
24003702602,1.1,1.7,1351,14.861,22.967
24003702702,1.7,10.3,517,8.789,53.251
24003702703,0,28.7,122,0,35.014
24003702704,0,17,227,0,38.59
24003706102,23.6,29.5,534,126.024,157.53
24003706103,0,33.1,100,0,33.1
24003706302,0,11,366,0,40.26
24003706303,6.2,9.8,501,31.062,49.098
24003706304,41.7,37.4,163,67.971,60.962
24003706402,6.7,7.6,566,37.922,43.016
24003706403,18,21.3,905,162.9,192.765
24003706404,9.5,14.1,732,69.54,103.212
24003706500,6,10.4,1290,77.4,134.16
24003706600,6.4,9.3,1299,83.136,120.807
24003706700,0,19.3,197,0,38.021
24003707001,7.3,10.1,1225,89.425,123.725
24003707002,6.4,8.1,907,58.048,73.467
24003708001,3,4.7,878,26.34,41.266
24003708004,8.1,11.6,1702,137.862,197.432
24003730101,0,9.7,431,0,41.807
24003730102,3.4,5.2,3020,102.68,157.04
24003730204,0,2.7,1545,0,41.715
24003730205,10.9,22.7,247,26.923,56.069
24003730206,16.4,21.9,670,109.88,146.73
24003730300,4.5,6.8,843,37.935,57.324
24003730401,17.9,14.5,1190,213.01,172.55
24003730403,2.4,3.9,971,23.304,37.869
24003730404,20.7,18.1,585,121.095,105.885
24003730507,6.7,8.4,810,54.27,68.04
24003730508,7.4,10.8,616,45.584,66.528
24003730509,4.9,8,1264,61.936,101.12
24003730510,11.4,10.5,863,98.382,90.615
24003730511,13.2,15.6,348,45.936,54.288
24003730512,5.5,8,597,32.835,47.76
24003730513,29.5,28.7,302,89.09,86.674
24003730514,16.6,20.5,440,73.04,90.2
24003730601,3.8,4.9,2026,76.988,99.274
24003730603,0,4.4,953,0,41.932
24003730605,18,14.7,668,120.24,98.196
24003730606,0,3.1,1354,0,41.974
24003730701,3.7,7.2,562,20.794,40.464
24003730702,0,3.4,1236,0,42.024
24003730800,0.7,1.1,575,4.025,6.325
24003730901,6.5,8.8,871,56.615,76.648
24003730902,1.8,2.9,986,17.748,28.594
24003731002,0,5.4,762,0,41.148
24003731003,6,6.6,1194,71.64,78.804
24003731004,6.4,7.2,1099,70.336,79.128
24003731103,2,3.2,1187,23.74,37.984
24003731104,1.7,2.1,1484,25.228,31.164
24003731105,0,5.4,769,0,41.526
24003731106,1.4,2.5,1096,15.344,27.4
24003731107,6.5,9.2,1051,68.315,96.692
24003731201,0,2.4,1772,0,42.528
24003731205,11.4,13.4,878,100.092,117.652
24003731206,0,4.1,1036,0,42.476
24003731207,0,4.5,942,0,42.39
24003731208,0,4.1,1066,0,43.706
24003731209,20.2,19.9,1274,257.348,253.526
24003731210,0,9.2,439,0,40.388
24003731303,3.2,4.5,1096,35.072,49.32
24003731306,2.7,4.7,1160,31.32,54.52
24003731307,6.3,8.2,1229,77.427,100.778
24003731308,2.4,2.7,710,17.04,19.17
24003731309,7.7,9.7,1090,83.93,105.73
24003731310,12.9,11.3,1190,153.51,134.47
24003731312,0,4.3,969,0,41.667
24003731313,0,7.5,546,0,40.95
24003740103,4,4.5,1871,74.84,84.195
24003740104,10.3,12.2,1780,183.34,217.16
24003740105,3.5,3.9,1425,49.875,55.575
24003740106,0.6,8.1,996,5.976,80.676
24003740107,13.9,21.9,912,126.768,199.728
