GEOID,edu_less_than_hs_pct,disability_pct,linguistic_isolation_pct,married_couple_family_pct,single_male_headed_family_pct,single_female_headed_family_pct,total_poverty_pct,child_poverty_pct,unemployment_pct,lf_participation_pct,health_insurance_pct,private_health_insurance_pct,public_health_insurance_pct,no_vehicle_available_pct,one_vehicle_available_pct,two_vehicles_available_pct,three_or_more_vehicles_available_pct,income_lt10k_pct,income_10kto15k_pct,income_15kto20k_pct,income_20kto25k_pct,income_25kto30k_pct,income_30kto35k_pct,income_35kto40k_pct,income_40kto45k_pct,income_45kto50k_pct,income_50kto60k_pct,income_60kto75k_pct,median_household_income,median_home_value,vacant_pct,assistance_snap_pct,owner_occupied_pct,renter_occupied_pct,renter_cost_burden_lt20k_pct,renter_cost_burden_20kto35k_pct,renter_cost_burden_35kto50k_pct,renter_zero_neg_income_pct,married_with_children_pct,male_hh_with_children_pct,female_hh_with_children_pct,under18_pct,year,population_density
24001000100,0.033,0.18,0.009,0.654,0.038,0.074,0.063,0.16,0.11,0.556,0.922,0.737,0.423,0.052,0.201,0.375,0.373,0.0622254758418741,0.0512445095168375,0.061493411420205,0.0944363103953148,0.0622254758418741,0.0710102489019034,0.0402635431918009,0.0483162518301611,0.0490483162518302,0.115666178623719,0.111273792093704,45682,158800,0.255179934569248,0.0783308931185944,0.836749633967789,0.163250366032211,0.925531914893617,0,0,0,0.258678611422172,0.5,0.435643564356436,0.00167727009832273,2012,6.99130068775722e-06
24001000200,0.044,0.151,0.048,0.569,0.019,0.057,0.143,0.25,0.066,0.364,0.9,0.742,0.339,0.029,0.222,0.482,0.267,0.104391052195526,0.0182270091135046,0.112676056338028,0.0273405136702568,0.0671085335542668,0.072079536039768,0.0389395194697597,0.0994200497100249,0.0397680198840099,0.0712510356255178,0.0538525269262635,42712,145500,0.17891156462585,0.0787075393537697,0.792874896437448,0.207125103562552,0.878504672897196,0,0,0,0.238719068413392,0,0.536231884057971,0.0026027397260274,2012,3.43229457511832e-05
24001000300,0.05,0.236,0,0.441,0.032,0.177,0.274,0.485,0.103,0.515,0.906,0.569,0.497,0.077,0.384,0.349,0.19,0.101950354609929,0.13209219858156,0.0328014184397163,0.0771276595744681,0.075354609929078,0.146276595744681,0.0540780141843972,0.0354609929078014,0.0159574468085106,0.099290780141844,0.0682624113475177,31806,124700,0.0513036164844407,0.204787234042553,0.781914893617021,0.218085106382979,0.818791946308725,0,0,0,0.220883534136546,0,0.575,0.00128818549871181,2012,0.000121281549785437
24001000400,0.032,0.192,0.019,0.456,0.032,0.106,0.161,0.199,0.109,0.622,0.911,0.641,0.452,0.106,0.446,0.269,0.179,0.0862903225806452,0.0725806451612903,0.0967741935483871,0.042741935483871,0.067741935483871,0.0669354838709678,0.0693548387096774,0.0467741935483871,0.0459677419354839,0.0911290322580645,0.0508064516129032,39583,126800,0.206145966709347,0.112096774193548,0.633064516129032,0.366935483870968,0.597633136094675,0.108695652173913,0,0.0483516483516484,0.279646017699115,0.575,0.628787878787879,0.00303030303030303,2012,0.000312829556790237
24001000500,0.05,0.304,0.005,0.343,0.012,0.077,0.357,0.612,0.201,0.49,0.888,0.526,0.487,0.13,0.418,0.314,0.138,0.191598360655738,0.133196721311475,0.0706967213114754,0.0276639344262295,0.10655737704918,0.0450819672131148,0.0440573770491803,0.0122950819672131,0.0860655737704918,0.0717213114754098,0.0747950819672131,28141,90400,0.273268801191363,0.269467213114754,0.601434426229508,0.398565573770492,0.925650557620818,0.564102564102564,0,0.0282776349614396,0.259701492537313,1,0.666666666666667,0.0026634382566586,2012,0.000213431115792088
24001000600,0.06,0.183,0.011,0.529,0.03,0.119,0.115,0.107,0.058,0.515,0.918,0.689,0.38,0.122,0.338,0.356,0.185,0.101707498144024,0.0504825538233111,0.074981440237565,0.0861172976985895,0.100965107646622,0.0371195248700817,0.0423162583518931,0,0.052709725315516,0.132887899034892,0.074981440237565,45343,114000,0.131528046421663,0.142538975501114,0.78173719376392,0.21826280623608,0.807692307692308,0.358974358974359,1,0.0714285714285714,0.35252808988764,0.75,0.6625,0.00218289085545723,2012,0.000815711233104644
24001000700,0.052,0.259,0,0.275,0.015,0.2,0.183,0.291,0.172,0.509,0.837,0.437,0.576,0.21,0.49,0.178,0.121,0.147820593809223,0.0897030953885028,0.102969046114972,0.0758054327226785,0.135818066961466,0.0884396715097915,0.0568540745420089,0.0663297536323437,0.0360075805432723,0.0505369551484523,0.0429564118761845,27782,84200,0.0912743972445465,0.310802274162982,0.52621604548326,0.47378395451674,0.762411347517731,0.483766233766234,0.315068493150685,0.016,0.503448275862069,0.91304347826087,0.620253164556962,0.00259022118742724,2012,0.00186221415728838
24001000800,0.06,0.199,0.023,0.376,0.04,0.092,0.214,0.196,0.093,0.599,0.903,0.588,0.577,0.205,0.323,0.36,0.113,0.136363636363636,0.154545454545455,0.0704545454545455,0.0329545454545455,0.103409090909091,0.0738636363636364,0.0784090909090909,0.0556818181818182,0.0215909090909091,0.1,0.0784090909090909,30128,81400,0.170593779453346,0.342045454545455,0.626136363636364,0.373863636363636,0.860927152317881,0.830769230769231,0.272727272727273,0.0486322188449848,0.48036253776435,0.257142857142857,0.62962962962963,0.00389105058365759,2012,0.000558673216267202
24001001000,0.052,0.24,0.004,0.196,0.043,0.161,0.206,0.197,0.197,0.583,0.748,0.42,0.469,0.212,0.493,0.209,0.085,0.178790534618755,0.104294478527607,0.142857142857143,0.084136722173532,0.126205083260298,0.0587204206836109,0.0657318141980719,0.0429447852760736,0.00876424189307625,0.0297984224364592,0.0648553900087642,24558,77500,0.224337185588035,0.2988606485539,0.458369851007888,0.541630148992112,0.789308176100629,0.0620689655172414,0,0,0.241071428571429,0.163265306122449,0.570652173913044,0.00440722785368004,2012,0.00195175047480472
24001001100,0.003,0.297,0.002,0.313,0.029,0.158,0.257,0.427,0.143,0.533,0.924,0.57,0.499,0.201,0.502,0.231,0.066,0.0871165644171779,0.152147239263804,0.138650306748466,0.0699386503067485,0.0478527607361963,0.0392638036809816,0.0797546012269939,0.0171779141104294,0.0417177914110429,0.0417177914110429,0.0674846625766871,30273,123600,0.155440414507772,0.269938650306748,0.361963190184049,0.638036809815951,0.765258215962441,0.682926829268293,0.0632911392405063,0,0.341176470588235,1,0.333333333333333,0.0038655462184874,2012,0.00219017149574925
24001001200,0.012,0.128,0.015,0.503,0.027,0.096,0.088,0.115,0.048,0.616,0.865,0.764,0.282,0.027,0.376,0.447,0.149,0.0596436870642912,0.0170410534469404,0.0449264136328428,0.0255615801704105,0.0689388071262587,0.0627420604182804,0.0178156467854376,0.0387296669248644,0.0542215336948102,0.0813323005422153,0.126258714175058,63885,141700,0.139906728847435,0.10844306738962,0.804802478698683,0.195197521301317,1,0.487804878048781,0,0.0396825396825397,0.28,0.771428571428571,0.556451612903226,0.0033104309806371,2012,0.000429561214969929
24001001300,0.053,0.162,0.019,0.456,0.051,0.088,0.156,0.291,0.076,0.241,0.91,0.722,0.363,0.049,0.324,0.449,0.179,0.0639470782800441,0.0452039691289967,0.0804851157662624,0.103638368246968,0.0760749724366042,0.0374862183020948,0.081587651598677,0.0573318632855568,0.0220507166482911,0.0771775082690188,0.132304299889746,40772,113400,0.0442571127502634,0.0893054024255788,0.750826901874311,0.249173098125689,1,0.333333333333333,0,0,0.282608695652174,0.521739130434783,0.4375,0.00233654034949931,2012,0.00050878763186142
24001001401,0.035,0.157,0.013,0.638,0.019,0.028,0.064,0.028,0.033,0.604,0.959,0.831,0.32,0.042,0.299,0.371,0.289,0.0324189526184539,0.0448877805486284,0.0567331670822943,0.0617206982543641,0.0617206982543641,0.0567331670822943,0.0492518703241895,0.0554862842892768,0.0286783042394015,0.0498753117206983,0.0879052369077307,60323,164200,0.113812154696133,0.0754364089775561,0.895261845386534,0.104738154613466,1,0.8125,0,0,0.3505859375,0.8,0.355555555555556,0.00181214905564063,2012,0.000103054952573954
24001001402,0.031,0.176,0,0.471,0.029,0.074,0.136,0.004,0.018,0.563,0.914,0.812,0.302,0.038,0.405,0.298,0.259,0.0889570552147239,0.0751533742331288,0.0904907975460123,0.0383435582822086,0.0567484662576687,0.0429447852760736,0.0475460122699387,0.0199386503067485,0.0567484662576687,0.107361963190184,0.182515337423313,47708,113600,0.0738636363636364,0.127300613496933,0.700920245398773,0.299079754601227,1,0.428571428571429,0,0,0.244299674267101,0.842105263157895,0.8125,0.00585034013605442,2012,0.000494341750265349
24001001502,0.027,0.183,0.008,0.618,0.043,0.1,0.144,0.317,0.072,0.632,0.927,0.696,0.39,0.039,0.283,0.396,0.282,0.0465425531914894,0.0598404255319149,0.0279255319148936,0.110372340425532,0.0930851063829787,0.038563829787234,0.023936170212766,0.0625,0.00398936170212766,0.162234042553192,0.146276595744681,53333,140700,0.114252061248528,0.11968085106383,0.751329787234043,0.248670212765957,1,0.885714285714286,0,0,0.348387096774194,0.75,0.48,0.0049558390578999,2012,8.56638592061997e-05
24001001503,0.015,0.108,0,0.569,0.018,0.092,0.076,0.019,0.074,0.601,0.911,0.752,0.347,0.017,0.366,0.345,0.272,0.0423620025673941,0.0269576379974326,0.0449293966623877,0.132220795892169,0.0397946084724005,0.0346598202824134,0.0295250320924262,0.061617458279846,0.10397946084724,0.155327342747112,0.0436456996148909,49081,104800,0.0856807511737089,0.101412066752246,0.883183568677792,0.116816431322208,0,0.261904761904762,0,0,0.424379232505643,0.357142857142857,0.319444444444444,0.00330788804071247,2012,6.56941720455746e-05
24001001600,0.03,0.143,0,0.418,0.012,0.142,0.099,0.109,0.105,0.618,0.871,0.671,0.382,0.068,0.302,0.421,0.209,0.0495689655172414,0.0398706896551724,0.0301724137931035,0.0991379310344828,0.118534482758621,0.115301724137931,0.040948275862069,0.00862068965517241,0.0905172413793103,0.084051724137931,0.0700431034482759,44375,155400,0.0292887029288703,0.144396551724138,0.702586206896552,0.297413793103448,1,0.572916666666667,0,0,0.461340206185567,0.636363636363636,0.492424242424242,0.00357474466109564,2012,0.000103523353986982
24001001700,0.052,0.168,0,0.39,0.015,0.175,0.23,0.368,0.111,0.61,0.933,0.694,0.414,0.107,0.402,0.321,0.171,0.191415885545141,0.108041440552541,0.0814010853478047,0.0202269363591515,0.0152935372471633,0.0547607301430686,0.067094227923039,0.0212136161815491,0.0231869758263444,0.138135175135668,0.0996546620621608,37003,139100,0.179684338324565,0.135175135668476,0.628021706956093,0.371978293043907,0.847389558232932,0,0.711111111111111,0,0.241772151898734,0,0.752112676056338,0.00280186791194129,2012,0.000137053013445353
24001001800,0.013,0.103,0.012,0.264,0.027,0.083,0.345,0.24,0.122,0.546,0.904,0.797,0.199,0.17,0.369,0.338,0.123,0.150391644908616,0.110704960835509,0.0668407310704961,0.159268929503916,0.0469973890339426,0.0308093994778068,0.0751958224543081,0.0224543080939948,0.0626631853785901,0.0532637075718016,0.0845953002610966,27661,132700,0.154898499558694,0.177545691906005,0.43289817232376,0.56710182767624,0.973140495867769,0.583333333333333,0.148760330578512,0.0239410681399632,0.217391304347826,0.411764705882353,0.575949367088608,0.00967172608542181,2012,0.000606590001914777
24001001900,0.017,0.149,0.003,0.608,0.016,0.092,0.059,0.108,0.082,0.638,0.879,0.727,0.355,0.041,0.268,0.444,0.246,0.0286320254506893,0.0307529162248144,0.0509013785790032,0.0180275715800636,0.120890774125133,0.0572640509013786,0.116648992576882,0.0159066808059385,0.0615058324496289,0.150583244962884,0.106044538706257,49960,122900,0.0826848249027237,0.0519618239660658,0.864262990455991,0.135737009544009,1,0.208333333333333,0,0.0390625,0.273996509598604,0.266666666666667,0.264367816091954,0.00385073441842001,2012,3.90483496000111e-05
24001002000,0.013,0.167,0.001,0.56,0.025,0.151,0.079,0.076,0.035,0.663,0.917,0.765,0.348,0.049,0.313,0.384,0.254,0.0794671566375746,0.0160771704180064,0.0564997703261369,0.0872760679834635,0.0496095544327056,0.0528249885163068,0.0670647680293983,0.0569591180523656,0.0275608635737253,0.0624712907671107,0.149747358750574,52014,151000,0.0989238410596027,0.168580615525953,0.812586127698668,0.187413872301332,0.609375,0.247524752475248,0,0,0.30188679245283,0.37037037037037,0.579268292682927,0.00216647662485747,2012,7.4419033276365e-05
24001002100,0.068,0.195,0.003,0.534,0.049,0.113,0.155,0.243,0.085,0.591,0.893,0.624,0.457,0.107,0.289,0.33,0.275,0.0656716417910448,0.0529850746268657,0.0716417910447761,0.115671641791045,0.0462686567164179,0.0738805970149254,0.0798507462686567,0.0537313432835821,0.0738805970149254,0.082089552238806,0.0850746268656716,39677,81800,0.114927344782034,0.207462686567164,0.702985074626866,0.297014925373134,0.646551724137931,0.428571428571429,0,0,0.346853146853147,0.523076923076923,0.5,0.0035827186512118,2012,5.95424266506315e-05
24001002200,0.052,0.213,0.003,0.543,0.027,0.124,0.16,0.316,0.074,0.479,0.926,0.628,0.486,0.055,0.349,0.4,0.196,0.116309291747888,0.0688758934372969,0.0363872644574399,0.055230669265757,0.0851202079272255,0.050682261208577,0.0961663417803769,0.0253411306042885,0.0383365821962313,0.059779077322937,0.111111111111111,39598,88600,0.145,0.174788823911631,0.755685510071475,0.244314489928525,0.731481481481482,0.288461538461538,0.491525423728814,0.0664893617021277,0.247904191616767,0.19047619047619,0.691099476439791,0.00221674876847291,2012,6.55900008263545e-05
24003701101,0.004,0.083,0.003,0.61,0.047,0.108,0.037,0.054,0.065,0.702,0.967,0.908,0.168,0.032,0.244,0.403,0.322,0.0197452229299363,0.0312101910828026,0.0152866242038217,0.0254777070063694,0.00636942675159236,0.0171974522292994,0.0133757961783439,0.032484076433121,0.0140127388535032,0.0808917197452229,0.0866242038216561,111897,477200,0.0272614622057001,0.0159235668789809,0.878343949044586,0.121656050955414,1,1,1,0,0.417972831765935,0.527027027027027,0.420118343195266,0.00161441272812354,2012,0.000501598531094453
24003701102,0.038,0.12,0.054,0.522,0.09,0.111,0.067,0.11,0.078,0.702,0.893,0.789,0.222,0.009,0.331,0.438,0.222,0.0175257731958763,0.00549828178694158,0.0415807560137457,0.0164948453608247,0.0254295532646048,0.0216494845360825,0.0305841924398625,0.0271477663230241,0.045360824742268,0.0793814432989691,0.118900343642612,91473,337400,0.0957116221255438,0.0666666666666667,0.848797250859107,0.151202749140893,0,1,1,0,0.352863726135616,0.452471482889734,0.507739938080495,0.00080147155432926,2012,0.00115011395133099
24003701200,0.011,0.067,0.006,0.558,0.034,0.126,0.036,0.031,0.059,0.736,0.926,0.878,0.145,0.005,0.187,0.512,0.296,0.0136942675159236,0.0213375796178344,0.0312101910828026,0.00859872611464968,0.024203821656051,0.0207006369426752,0.00828025477707006,0.035031847133758,0.0436305732484076,0.0535031847133758,0.117197452229299,91875,382200,0.0901188061431469,0.0117834394904459,0.862101910828026,0.137898089171975,1,1,0,0,0.432972047917855,0.327102803738318,0.584810126582279,0.000917212626563431,2012,0.000380774864986913
24003701300,0.011,0.107,0.032,0.737,0.053,0.059,0.014,0.009,0.046,0.675,0.958,0.891,0.192,0.033,0.087,0.45,0.43,0.00697944939899186,0.0248158200853044,0,0.0255913144629701,0.0255913144629701,0.039162466072121,0.04575416828228,0.0166731291198139,0.0178363706863125,0.0124079100426522,0.0523458704924389,113542,576300,0.0521866960676222,0.0298565335401318,0.970531213648701,0.029468786351299,0,0,0,0,0.401578947368421,0.576642335766423,0.522875816993464,0.00103600103600104,2012,7.6392203624025e-05
24003701400,0.052,0.127,0.005,0.655,0.091,0.09,0.037,0,0.085,0.625,0.946,0.883,0.231,0.076,0.114,0.382,0.428,0.0565709312445605,0.0121845082680592,0,0.0130548302872063,0.0356832027850305,0,0.0278503046127067,0.0200174064403829,0,0.0217580504786771,0.102697998259356,125304,648100,0.0658536585365854,0.0182767624020888,0.928633594429939,0.0713664055700609,1,0,0,0,0.471447543160691,0.125,0.135922330097087,0.00195367010884733,2012,5.68813677494475e-05
24003702100,0.011,0.057,0.006,0.703,0.024,0.077,0.021,0,0.05,0.704,0.989,0.962,0.173,0,0.194,0.381,0.425,0.0156765676567657,0.00453795379537954,0.00577557755775578,0.00453795379537954,0.0127887788778878,0.0169141914191419,0.0185643564356436,0.0375412541254125,0.0276402640264026,0.0606435643564356,0.102310231023102,108214,453800,0.113062568605928,0.00495049504950495,0.897277227722772,0.102722772277228,0,1,0.52,0,0.289736070381232,0.431034482758621,0.866310160427808,0.000679501698754247,2012,0.000228770726034636
24003702204,0,0.089,0.011,0.696,0.043,0.069,0.023,0.057,0.06,0.717,0.96,0.928,0.147,0.021,0.188,0.489,0.302,0.00755667506297229,0.0119647355163728,0.00629722921914358,0,0.00818639798488665,0.00566750629722922,0.0163727959697733,0.0270780856423174,0.0390428211586902,0.0220403022670025,0.0724181360201511,134891,467100,0,0.00566750629722922,0.91183879093199,0.0881612090680101,1,0,1,0,0.33393665158371,0.536231884057971,0.908256880733945,0.00211150652431791,2012,0.00167041206505894
